,title,description,originallink,link
761,"&quot;티켓만 100만원 썼는데&quot;…NCT드림 콘서트 연기 아닌 취소, 왜",여성 솔로 가수 최초로 9월 잠실올림픽주경기장에서 단독 콘서트를 여는 <b>아이유</b>도 2020년 데뷔 12주년 기념으로 주 경기장을 잡았다가 코로나 19 등의 이유로 취소와 대관을 반복해왔다. 한 가요 관계자는 “연기 발표는... ,https://www.joongang.co.kr/article/25090968,https://n.news.naver.com/mnews/article/025/0003213468?sid=101
762,"라이언 전, &quot;혼자 음악 할 수 있지만…작곡은 2017년도에 그만둬&quot;","라이언전은 작곡가 데뷔 이후 샤이니, 이효리, 에프엑스, 걸스데이, 동방신기, 백지영, 유키스, 스피카, 태연, 태민, 아이오아이, 오마이걸, 트와이스, 강다니엘, 유아, <b>아이유</b> 등 가수들과 노래를 작업하며 주목 받은 바... ",http://www.topstarnews.net/news/articleView.html?idxno=14713476,http://www.topstarnews.net/news/articleView.html?idxno=14713476
763,"&apos;우영우&apos; 박은빈, 스타 브랜드평판 1위 올라","이번 스타 브랜드평판 상위 30위에는 박은빈, 손흥민, 임영웅 씨에 이어 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",https://star.ytn.co.kr/_sn/0117_202207310952496898,https://n.news.naver.com/mnews/article/052/0001770762?sid=106
764,"“스타 7월 브랜드평판... 1위 박은빈, 2위 손흥민, 3위 임영웅, 4위 김연아,...","박은빈, 손흥민, 임영웅, 김연아, 손석구에 이어 7월 스타 브랜드평판 30위권에는 <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",https://www.yeongnam.com/web/view.php?key=20220731000935121,https://www.yeongnam.com/web/view.php?key=20220731000935121
765,<b>아이유</b>도 블랙핑크도 다 제쳤다...&apos;7월 여자 스타 브랜드평판&apos; 1위는 바로...,"한국기업평판연구소에 따르면 7월 여자 스타 브랜드평판 순위는 3위 블랙핑크, 2위 <b>아이유</b>, 1위 박은빈인 것으로 나타났다. 7월 스타 브랜드평판 10위권 여자 스타로 박은빈(1위), <b>아이유</b>(6위), 블랙핑크(7위)가 이름을... ",https://www.wikitree.co.kr/articles/776549,https://www.wikitree.co.kr/articles/776549
766,&quot;우리도 대박 내볼까?&quot;…새 주인 만난 유명호텔들 변신 중,IB업계 관계자는 “연예인 <b>아이유</b>가 130억원에 분양받아 화제가 된 강남구 에테르노청담은 현대건설이 호텔을 최고급 주거시설로 바꿔 소위 대박을 터트렸다”며 “이후로 강남권역 일대 호텔이 너도나도 하이엔드 주거... ,https://realty.chosun.com/site/data/html_dir/2022/07/31/2022073100222.html,https://realty.chosun.com/site/data/html_dir/2022/07/31/2022073100222.html
767,"[유튜브인기가수] 에스파, 30주차 유튜브코리아 인기아티스트 1위…임영웅·아...","3위는 <b>아이유</b>다. <b>아이유</b>는 6,511,783의 조회수를 기록중이며, 차트에 306회 올랐다. 지난 주 순위는 3위였다. 이어 4위는 아이브로 아이브는 차트에 32회 올랐으며, 5,985,049회의 조회수를... ",http://www.topstarnews.net/news/articleView.html?idxno=14713470,http://www.topstarnews.net/news/articleView.html?idxno=14713470
768,"&apos;우영우&apos; 신드롬 박은빈, 스타 브랜드평판 1위","한편, 이번 브랜드평판 상위 30위에는 박은빈, 손흥민, 임영웅에 이어 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://star.mk.co.kr/new/view.php?mc=ST&year=2022&no=672873,https://n.news.naver.com/mnews/article/009/0004998414?sid=106
769,"[브랜드평판] &apos;이상한 변호사 우영우&apos; 박은빈, 스타 브랜드 2022년 7월... 1위","2022년 7월 스타 브랜드평판 10위 순위는 박은빈, 손흥민, 임영웅, 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오 순으로 분석됐다. 스타 브랜드평판 1위를 기록한 박은빈 브랜드는 참여지수 5,167... ",http://www.beyondpost.co.kr/view.php?ud=202207310908008681499def050a_30,http://www.beyondpost.co.kr/view.php?ud=202207310908008681499def050a_30
770,"[스타서베이 주간] 배우 &apos;브랜드 파워&apos; 랭킹 김희재 1위(37.1%), 김선호·연우...","뒤이어 4위 서현(20,280표), 5위 김지원(11,250표), 6위 전여빈(8,190표), 7위 전소민(8,010표), 8위 박은빈(6,090표), 9위 임윤아(2,640표), 10위 <b>아이유</b>(2,400표) 등이 추격중이다. 또한 11위 손예진(2,370표), 12위 이세희... ",http://www.topstarnews.net/news/articleView.html?idxno=14713464,http://www.topstarnews.net/news/articleView.html?idxno=14713464
771,"&apos;우영우&apos; 박은빈, 스타 브랜드평판 1위로 진입","이번 스타 브랜드평판 상위 30위에는 박은빈, 손흥민, 임영웅에 이어 김연아, 손석구, <b>아이유</b>, 블랙핑크, 방탄소년단, 싸이, 강태오, 유재석, 트와이스, (여자)아이들, 이찬원, 세븐틴, 김호중, 강다니엘, NCT, 류현진... ",http://starin.edaily.co.kr/news/newspath.asp?newsid=01105366632400096,https://n.news.naver.com/mnews/article/018/0005280600?sid=106
772,"[스타서베이 주간] 영탁 1위(16.6%), 이승윤·김기태·장민호·양준일 TOP5…...","35위 <b>아이유</b>(90표), 35위 에이핑크 박초롱(90표), 36위 소녀시대 태연(30표), 36위 풍금(30표), 36위 배아현(30표), 36위 윤서령(30표), 36위 장보윤(30표), 36위 한봄(30표) 등과 같다. 현재까지 44명의 스타가 표를... ",http://www.topstarnews.net/news/articleView.html?idxno=14713459,http://www.topstarnews.net/news/articleView.html?idxno=14713459
773,"롯데칠성 “냄새 논란 펩시 제로슈거, 내용물 문제없어”","재점검, 품질검사 확대 및 강화, 재발방지대책 수립 등을 통해 유사한 사례가 재차 발생되지 않도록 품질관리에 최선의 노력을 다할 것”이라고 강조했다. ‘펩시·펩시제로슈거’ <b>아이유</b> 에디션. (사진=롯데칠성음료)",https://www.viva100.com/main/view.php?key=20220731010007722,https://www.viva100.com/main/view.php?key=20220731010007722
