,title,description,originallink,link,pubDate
438,"&apos;<b>손흥민</b> 80분&apos; 토트넘, 첼시와 2-2 무승부",<b>손흥민</b>이 공격 포인트를 올리지 못한 가운데 소속팀 토트넘 홋스퍼가 첼시FC와 무승부를 거뒀다. 토트넘은... 이날 토트넘의 선발 라인업에 이름을 올린 <b>손흥민</b>은 후반 35분 이반 페리시치와 교체될 때까지 그라운드를... ,http://www.stoo.com/article.php?aid=81989755230,http://www.stoo.com/article.php?aid=81989755230,"Mon, 15 Aug 2022 02:28:00 +0900"
439,"&apos;케인 극장골&apos; 토트넘, 첼시 원정서 2-2 무승부... <b>손흥민</b> 침묵","선발로 나선 <b>손흥민</b>은 침묵을 지켰다. 안토니오 콘테 감독이 이끄는 토트넘은 15일 오전 0시 30분(한국시간)... <b>손흥민</b>은 해리 케인, 데얀 쿨루셉스키와 함께 2경기 연속 선발로 나섰지만 공격 포인트를 기록하지 못했다.... ",http://star.mt.co.kr/stview.php?no=2022081422584244898,https://sports.news.naver.com/news.nhn?oid=108&aid=0003078945,"Mon, 15 Aug 2022 02:28:00 +0900"
440,"&apos;케인 극적 동점골&apos; 토트넘, 첼시와 2-2 무승부…<b>손흥민</b> 80분 활약",<b>손흥민</b>은 이날 경기에서 선발 출전해 후반 34분 페리시치와 교체된 가운데 80분 가량 활약했다. 토트넘은 첼시를 상대로 케인이 공격수로 나섰고 <b>손흥민</b>과 쿨루셉스키가 측면 공격을 이끌었다. 벤탄쿠르와 호이비에르는... ,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208150216531107&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://sports.news.naver.com/news.nhn?oid=117&aid=0003635886,"Mon, 15 Aug 2022 02:28:00 +0900"
441,"[epl.review] &apos;케인 극장골&apos; 토트넘, 첼시에 2-2 무...7G만에 첼시전 득점","<b>손흥민</b>, 케인, 쿨루셉스키, 세세뇽, 호이비에르, 벤탄쿠르, 에메르송, 데이비스, 다이어, 로메로가 선발로... <b>손흥민</b>이 힘을 냈다. 전반 40분 <b>손흥민</b>은 첼시의 코너킥 이후 속공 상황에서 드리블을 시도했지만 제임스가... ",http://www.fourfourtwo.co.kr/news/articleView.html?idxno=17936,https://sports.news.naver.com/news.nhn?oid=411&aid=0000013714,"Mon, 15 Aug 2022 02:28:00 +0900"
442,"&apos;해리 케인 극장골&apos; 토트넘, 첼시와 2-2 무승부",<b>손흥민</b>은 전반 3분 페널티 박스 정면에서 슈팅을 시도했지만 수비에 막혔다. 이후 첼시가 점유율을 유지한... 이어 <b>손흥민</b>의 패스 실수를 역습으로 연결했다. 스털링이 페널티 박스 오른쪽 부근에서 흘려준 패스를... ,http://www.dailysportshankook.co.kr/news/articleView.html?idxno=262322,http://www.dailysportshankook.co.kr/news/articleView.html?idxno=262322,"Mon, 15 Aug 2022 02:28:00 +0900"
443,"[EPL 리뷰] &apos;케인 추가시간 극적 동점골&apos; 토트넘, 첼시와 2-2 무...<b>손흥민</b> 80...","에메르송-<b>손흥민</b>, 쿨루셉스키-케인 첼시(3-4-2-1) : 멘디(GK)-쿨리발리, 실바, 제임스-쿠쿠렐라, 조르지뉴, 캉테... 토트넘은 <b>손흥민</b>을 중심으로 첼시의 뒷공간을 노렸지만, 견고한 수비진에 여러 차례 막혔다. 시간이... ",http://www.interfootball.co.kr/news/articleView.html?idxno=579446,https://sports.news.naver.com/news.nhn?oid=413&aid=0000144634,"Mon, 15 Aug 2022 02:27:00 +0900"
444,"[EPL리뷰]&apos;케인 극장동점골&apos; 토트넘, 첼시 원정 2대2 무승부! SON 79분 침묵","<b>손흥민</b>(토트넘)은 선발 출전했지만 공격포인트를 기록하지 못하고 후반 35분 교체아웃됐다. 토트넘은 14일... <b>손흥민</b>, 케인, 클루세프스키가 스리톱으로 나섰다. 허리에는 호이비에르, 벤탄쿠르가 배치됐다. 좌우 윙백은... ",http://sports.chosun.com/news/ntype.htm?id=202208160100102770006336&servicedate=20220815,https://sports.news.naver.com/news.nhn?oid=076&aid=0003904789,"Mon, 15 Aug 2022 02:27:00 +0900"
445,"[EPL 2R] &apos;SON 침묵&apos; 토트넘, 첼시와 2-2 무승부...&apos;케인이 살렸다&apos;","클루셉스키, <b>손흥민</b>, 해리 케인이 선발로 나섰다. 양 팀은 전반 초반부터 치열한 공방전을 펼쳤다. 토트넘과... 후반 2분 <b>손흥민</b>이 아쉽게 동점골 기회를 놓쳤다. 케인이 연결한 롱 패스를 받아 슈팅으로 연결했지만 너무... ",http://www.sportalkorea.com/news/view.php?gisa_uniq=2022081502194720&section_code=20&cp=se&sp=A,https://sports.news.naver.com/news.nhn?oid=139&aid=0002171320,"Mon, 15 Aug 2022 02:27:00 +0900"
446,"[GOAL 리뷰] &apos;케인 극장 동점골&apos; 토트넘, 첼시와 2-2 무승부…<b>손흥민</b> 침묵","<b>손흥민</b>은 선발 출전해 80분을 소화했지만, 공격포인트를 따로 올리진 못하면서 아쉬운 경기력을 선보였다.... 개막 2연승에 도전하는 토트넘은 중요한 일전에서 <b>손흥민</b>과 케인, 데얀 쿨루셉스키, 호이비에르 등 베스트... ",https://www.goal.com/kr/뉴스/a/blt031fad00c8c35b3f,https://sports.news.naver.com/news.nhn?oid=216&aid=0000123323,"Mon, 15 Aug 2022 02:27:00 +0900"
447,"&apos;오른발잡이&apos; <b>손흥민</b>의 &apos;왼발&apos; 프리킥, 위상 드러난 장면 [스한 스틸컷]",&apos;선척적 오른발잡이&apos;인 <b>손흥민</b>(토트넘 훗스퍼)이 왼발로 프리킥을 찼다. 그동안 프리킥이나 코너킥은 차왔지만 항상 오른발로 찼던 <b>손흥민</b>이 왼발로 차는 것을 허용했다는 것은 팀내 왼발잡이들이 있음에도 얼마나... ,http://sports.hankooki.com/news/articleView.html?idxno=6804624,http://sports.hankooki.com/news/articleView.html?idxno=6804624,"Mon, 15 Aug 2022 02:26:00 +0900"
